タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"戦国時代に宇宙要塞でやって来ました。
","ほのぼの 時代小説 戦国時代 アドバイス募集 日常メイン R15 残酷な描写あり
",154853,6165072,12331,https://ncode.syosetu.com/n9798ei/
"【書籍化】　宮廷魔術師の婚約者
","婚約破棄 魔術師の弟子 隠れた才能 ざまあ
",154834,37013,75,https://ncode.syosetu.com/n6520hg/
"【書籍化＆コミカライズ】勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。……なので大聖女、お前に追って来られては困るのだが？
","ハーレム チート 勇者パーティー 追放 聖女 ざまぁ 真の実力者 主人公最強 スキル
",154370,850736,1702,https://ncode.syosetu.com/n5256gk/
"【書籍4巻コミック2巻発売中！】悪役令嬢の矜持〜婚約者を奪い取って義姉を追い出した私は、どうやら今から破滅するようです。〜
","女主人公 西洋 中世 魔法 ハッピーエンド 悪役令嬢 溺愛 婚約破棄 書籍化 コミカライズ
",154282,631360,1263,https://ncode.syosetu.com/n0753hr/
運命の恋人は期限付き,"ハッピーエンド ヒストリカル 恋愛 貴族 両片思い 天然vs無自覚 恋人契約 王道 じれじれ 絵画 お仕事 コミカライズ 電子書籍化 後日談は不定期
",154172,430646,862,https://ncode.syosetu.com/n0645gg/
"占い師には花騎士の恋心が見えています
","女主人公 西洋 魔法 恋愛 騎士 特殊能力系主人公 感情が見える R15
",154158,364183,729,https://ncode.syosetu.com/n0160gd/
"百合ゲー世界に、百合の間に挟まる男として転生してしまいました(書籍版：男子禁制ゲーム世界で俺がやるべき唯一のこと)
","ギャグ 男主人公 魔法 冒険 日常 ゲーム ダンジョン コメディ アクション バトル 一人称 おそらくハーレム 百合はほぼありません ゲーム転生 R15 異世界転生
",154066,1409611,2820,https://ncode.syosetu.com/n1375hg/
"【WEB版】冰剣の魔術師が世界を統べる〜世界最強の魔術師である少年は、魔術学院に入学する〜
","ギャグ シリアス 主人公最強 王道 剣と魔法 成り上がり 魔術学院 書籍化 コミカライズ アニメ化 R15 残酷な描写あり
",153848,1330080,2661,https://ncode.syosetu.com/n2501fv/
"お前みたいなヒロインがいてたまるか！
","異世界転生 乙女ゲーム 悪役令嬢 恋愛 学校/学園 転生 コメディ シリアス
",153712,1001943,2004,https://ncode.syosetu.com/n3059ch/
"【コミカライズ】目的は生き延びること
","悪役令嬢 三角関係 弟 シリアス 家族 シスコン 生死に関わる表現有り
",153590,249610,500,https://ncode.syosetu.com/n4201gx/
"【コミカライズ】俺、勇者じゃないですから。～VR世界の頂点に君臨せし男。転生し、レベル１の無職からリスタートする～
","男主人公 ハーレム ハッピーエンド 主人公最強 知識チート ゲーム世界 俺TUEEE スキル ステータス レベル 仲間育成 ファンタジー 成長 書籍化 コミカライズ R15 残酷な描写あり 異世界転生
",153204,702378,1405,https://ncode.syosetu.com/n7230gm/
"解雇された暗黒兵士（３０代）のスローなセカンドライフ
","R15 残酷な描写あり スローライフ おっさん主人公 勇者 四天王 不遇スタート 村経営 ざまぁ 主人公最強
",153173,1071011,2143,https://ncode.syosetu.com/n0617fd/
"ななしの皇女と冷酷皇帝 ～虐げられた幼女、今世では龍ともふもふに溺愛されています～【コミカライズ・書籍化・翻訳化】
","魔法 ハッピーエンド 逆行転生 ループ 溺愛 幼女 龍 モフモフ 中華ロリータ風？ シスコン ざまあ（微）ざまぁ 書籍化 コミカライズ 翻訳化 完結済み
",152972,140880,282,https://ncode.syosetu.com/n0219gq/
"転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～
","男主人公 オリジナル戦記 架空戦記 異世界/ファンタジー 魔法/魔道具 ミリタリー/戦争 宮廷/貴族/陰謀 外交/内政/政治 国家/民族 西欧風/中世～近世 シリアス/男主人公 ヒロイン複数 転生者/転生者複数 恵まれた生まれ（傀儡 成り上がられる側 R15 残酷な描写あり 異世界転生
",152970,961876,1924,https://ncode.syosetu.com/n6066gi/
神統記(テオゴニア),"男主人公 オリジナル戦記 俺TUEEだが隠す ヒーローもの ハーレム要素あり R15 残酷な描写あり
",152790,764445,1529,https://ncode.syosetu.com/n1784ee/
"どうも、好きな人に惚れ薬を依頼された魔女です。
","ギャグ ほのぼの 魔法 ハッピーエンド 身分差 ラブコメ 魔女 異世界ファンタジー 両片思い じれじれ いつもの尽くし系男子 いつものずぼら系女子 餌付けヒーロー 面食いヒロイン 騎士 R15
",152759,239071,479,https://ncode.syosetu.com/n9512fk/
異世界支配のスキルテイカー,"ハーレム チート 異世界 ファンタジー ステータス 成り上がり 奴隷 チート無しでも最強 R15 異世界転移
",152271,644131,1289,https://ncode.syosetu.com/n0822cl/
"必勝ダンジョン運営方法　相手に合わせる理由がない
","ハーレム チート ダンジョン オリジナル戦記 異能力バトル ヒーロー 迷宮 お約束は破るもの 奴隷 戦争 R15 残酷な描写あり 異世界転移
",152234,9524432,19049,https://ncode.syosetu.com/n7891ca/
"俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです
","ギャグ シリアス ほのぼの 男主人公 日常 青春 スクールラブ ラブコメ 幼馴染 勘違い すれ違い メンタル最強 書籍化
",152006,425556,852,https://ncode.syosetu.com/n7981gj/
"【コミック３巻発売中】１００日後に死ぬ悪役令嬢は毎日がとても楽しい。
","女主人公 ハッピーエンド 青春 悪役令嬢 ラブコメ 婚約破棄 ざまぁ 余命 王子 溺愛 前向き主人公 令嬢 イケメン すれ違い 書籍化 R15 残酷な描写あり
",151802,269669,540,https://ncode.syosetu.com/n8024hd/
"生まれた直後に捨てられたけど、前世が大賢者だったので余裕で生きてます
","俺TUEEE ご都合主義 主人公最強 0歳児 合法的オギャり R15 残酷な描写あり
",150994,454583,910,https://ncode.syosetu.com/n1405hb/
"【コミカライズ＆書籍化】【Web版】婚約破棄され家を追われた少女の手を取り、天才魔術師は優雅に跪く（コミカライズ版:義妹に婚約者を奪われた落ちこぼれ令嬢は、天才魔術師に溺愛される）
","身分差 ヒストリカル 婚約破棄 魔法 天才魔術師 隠された能力 溺愛 ざまぁ ハッピーエンド がうがうコン1
",150980,128402,257,https://ncode.syosetu.com/n5896ha/
31番目のお妃様,身分差 後宮 お妃選び 王 王妃,150739,126865,254,https://ncode.syosetu.com/n8136dz/
神の庭付き楠木邸【WEB版】,"ほのぼの 日常 異能 神／妖怪／精霊 陰陽師 もふもふ 因果応報 書籍化 コミカライズ コメディ 田舎暮らし 残酷な描写あり
",150678,762882,1526,https://ncode.syosetu.com/n3290gx/
"【洞窟王】からはじめる楽園ライフ～万能の採掘スキルで最強に!?～
","チート 内政 ハッピーエンド オリジナル戦記 追放 不遇 領主 採掘 チート鉱山 最強 ご都合主義 従魔 賢者 孤島から始まる R15 残酷な描写あり
",150579,742985,1486,https://ncode.syosetu.com/n7121fs/
"異世界転生に感謝を【本編完結】
","R15 残酷な描写あり 異世界転生 冒険 ファンタジー ハッピーエンド 転生 VR（一人用） 異世界 元老人　現青年 基本まったり チート 生活 ヒロイン複数 本編完結
",150512,1085697,2172,https://ncode.syosetu.com/n6695bq/
"転生勇者の気まま旅　～伝説の最強勇者は第二の人生でさらに強くなるようです～
","R15 残酷な描写あり ご都合主義 モンスターテイマー 獣人の子供たち 元勇者 スローライフ 俺ツエー 主人公最強 無双
",150387,414594,830,https://ncode.syosetu.com/n5036fc/
"ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました
","R15 残酷な描写あり ご都合主義 主人公最強 ハーレム 剣と魔法の世界 サクセスストーリー 俺TUEEEEE 一人称 三人称 勇者
",150219,769154,1539,https://ncode.syosetu.com/n8581fo/
"ご主人様とゆく異世界サバイバル！
","R15 残酷な描写あり 異世界転移 オリジナル戦記 冒険 男主人公 西洋 中世 サバイバル ハーレム
",150187,1757130,3515,https://ncode.syosetu.com/n3742ey/
狂乱令嬢ニア・リストン,"異世界転生 日常 青春 異能力バトル 冒険 女主人公 コメディ 爆走 暴走 わりと暴力で解決 偶像 HJ2021 集英社小説大賞2 OVL大賞7 ESN大賞３ がうがうコン1
",150134,1194763,2390,https://ncode.syosetu.com/n4660fn/
"【コミカライズ開始！】底辺冒険者だけど魔法を極めてみることにした　～無能スキルから神スキルに進化した【魔法創造】と【アイテム作成】で無双する～
","R15 残酷な描写あり レベル上げ ユニークスキル どんどん強くなる 効率化 ステータス 底辺からのスタート いずれ主人公最強 魔法創造 アイテム作成
",150122,134386,269,https://ncode.syosetu.com/n8399gu/
"【WEB版】追放魔術師のその後　～なんか、婚約破棄されて、追い出されたので、つらい貴族生活をやめて遠い異国の開拓村でのんびり生活することにしました～
","R15 残酷な描写あり 異世界転生 最強主人公 男主人公 西洋風 スローライフ？ 俺Tueee ハーレム？　チート ざまぁ 生産　開拓 魔術　魔法 ほのぼの？
",149964,417794,836,https://ncode.syosetu.com/n2376gk/
"【書籍化】公爵家の料理番様　～３００年生きる小さな料理人～
","男主人公 魔法 冒険 ハッピーエンド グルメ ダンジョン 追放 スライム 魔物 実は最強 少年主人公 第一部完結 R15 残酷な描写あり
",149474,698725,1398,https://ncode.syosetu.com/n8166ha/
"時使い魔術師の転生無双　～魔術学院の劣等生、実は最強の時間系魔術師でした～
","学園 主人公最強 成り上がり 劣等生 魔術学院 失われた魔術 時間操作 俺ＴＵＥＥＥ ご都合主義 無双 R15 残酷な描写あり
",149255,460513,922,https://ncode.syosetu.com/n1026ft/
"ログアウトしたのはＶＲＭＭＯじゃなく本物の異世界でした ～現実に戻ってもステータスが壊れている件～
","R15 残酷な描写あり 日常 青春 VRMMO デスゲーム クリア後 主人公最強 レベル引き継ぎ サポート職 魔物 魔法 魔物ハンター 学園 スキル授業 ダンジョン ヒロイン複数
",148846,513404,1027,https://ncode.syosetu.com/n1720gr/
"嫉妬とか承認欲求とか、そういうの全部捨てて田舎にひきこもる所存
","ハッピーエンド 年の差 婚約破棄 浮気 裏切り 虐待 姉妹格差 ヒーローがおっさん 書籍化 R15
",148770,402362,805,https://ncode.syosetu.com/n8390gi/
"町をつくる能力！？〜異世界につくろう日本都市〜
","R15 残酷な描写あり 異世界転移 集団転移 異世界 書籍化 商売 魔法 銃tuee 内政 NAISEI 外交 NOGYO 農業 現代兵器 現代技術 商人
",148553,583355,1167,https://ncode.syosetu.com/n8031dd/
"俺だけ選び放題、Ｓ級レアアイテムも壊れスキルも覚醒した【シュレディンガーの猫】で思うがまま！　～冒険者の俺はレベルも金も稼いで幸せなので、追放してきた連中も自力で頑張ってくれ～
","R15 残酷な描写あり オリジナル戦記 男主人公 ファンタジー レベル スキル ステータス 幼馴染 冒険者 猫 成り上がり 追放 ざまぁ チート 勘違い
",148514,293243,587,https://ncode.syosetu.com/n0383gq/
航宙軍士官、冒険者になる,"R15 オリジナル戦記 冒険者 チート 魔法 異世界 剣 ドラゴン 魔道具 サバイバル 料理 SF 貴族 内政 ハーレム
",148424,737681,1476,https://ncode.syosetu.com/n3490ee/
社畜ダンジョンマスターの食堂経営  〜断じて史上最悪の魔王などでは無い！！〜,"R15 残酷な描写あり 異世界転移 ダーク 魔王 中世 ハーレム チート 魔法 ダンジョン グルメ 奴隷 バイオレンス 最強の部下 罠 書籍化 人類の敵
",148395,379655,760,https://ncode.syosetu.com/n3448eb/
"暗殺者である俺のステータスが勇者よりも明らかに強いのだが
","チート 主人公最強 ハーレム要素なし ざまぁあり 恋愛は一筋 王道？ R15 残酷な描写あり 異世界転移
",148071,609919,1220,https://ncode.syosetu.com/n7707dt/
夢見る男子は現実主義者,"スクールラブ 日常 青春 ラブコメ 勘違い ギャグ ほのぼの 男主人公 学園 現代恋愛 HJ文庫2019大賞 書籍化 コミカライズ 2023年夏アニメ
",147933,756061,1513,https://ncode.syosetu.com/n2166fe/
"休暇だと思って楽しみます。(書籍版「穏やか貴族の休暇のすすめ。」)
","男主人公 ファンタジー 主人公至上主義 総愛され 残酷な描写あり 異世界転移
",147910,2610281,5221,https://ncode.syosetu.com/n5128by/
"【漫画１巻＆最終巻発売！】ブレイドスキル・オンライン　～ゴミ職業『サモナー』で最弱武器『弓使い』でクソステータス『幸運値極振り』の俺、いつのまにか『ラスボス』に成り上がります！～
","不遇職　クラスアップ いずれ主人公最強！ 掲示板　爽快感！！！ １０００万円ゲット！ 勘違い　ざまぁ　ＴＳ 目が死んでる　神ゲー ギャグ　巨乳　スキル 動画投稿　ＶＲＭＭＯ 無双　生産職要素追加 クトゥルフ　もふもふ モンスター作成　猫耳 作って遊ぼう禁断生物 街をまるごとゲット！ 巨大モンスター召喚！ 憑依武器　進化　覚醒
",147886,479166,959,https://ncode.syosetu.com/n3398fz/
"勿論、慰謝料請求いたします！
","R15 残酷な描写あり 悪役令嬢 慰謝料請求 婚約破棄 商魂
",147810,359918,720,https://ncode.syosetu.com/n2665dw/
無欲の聖女は金にときめく,"R15 身分差 悪役令嬢 の娘 勘違い 入れ替わり がめつい主人公 TS 性転換 髪 男主人公 女主人公 西洋 学園
",147556,930406,1861,https://ncode.syosetu.com/n3386db/
"乙女ゲームのヒロインで最強サバイバル　【書籍化＆コミカライズ】
","ダーク 女主人公 中世 冒険 乙女ゲーム 悪役令嬢 ハードボイルド 西洋風ファンタジー ヒロイン 成長記 最強の暗殺者 剣と魔法の世界 恋愛？ 書籍化 コミカライズ R15 残酷な描写あり
",147408,1390558,2782,https://ncode.syosetu.com/n1391fj/
"クラスが異世界召喚されたなか俺だけ残ったんですが
","R15 残酷な描写あり 日常 青春 ラブコメ ほのぼの 男主人公 ギャグ 魔法 チート 多分ハーレム 現代 主人公最強 ご都合主義 ネット小説大賞五 学園
",147062,691653,1384,https://ncode.syosetu.com/n1619dr/
異世界転生の冒険者,"魔法 冒険 ファンタジー チート能力あり ダンジョンあり 俺TUEEEあり 万能型主人公 ハーレム気味 魔物の仲間あり 書籍化・漫画化 R15 残酷な描写あり 異世界転生
",146929,2390470,4781,https://ncode.syosetu.com/n5990cm/
"悪夢から目覚めた傲慢令嬢はやり直しを模索中
","R15 悪役令嬢 婚約破棄 やり直し 夢 悪夢 予知夢 胡蝶の夢 魔法　開発 王族　貴族 学園生活 物作り（はさせる側） 生産（もさせる側） 謙虚が大事
",146597,515440,1031,https://ncode.syosetu.com/n3403fz/
"善人おっさん、生まれ変わったらＳＳＳランク人生が確定した
","R15 残酷な描写あり 異世界 ファンタジー やさしいせかい ストレスフリー ラッキーマン おっさん 貴族 学園 魔法 チート 成り上がり 主人公最強 書籍化 コミカライズ
",146357,543756,1088,https://ncode.syosetu.com/n9545er/
"【書籍化済】追放された公爵令嬢、ヴィルヘルミーナが幸せになるまで。【コミカライズ】
","ハッピーエンド 身分差 ヒストリカル 悪役令嬢 婚約破棄 追放 平民落ち 成り上がり ざまぁ イメチェン フツメン 才女と天才研究者 元公爵令嬢 書籍化 コミカライズ
",146068,213312,427,https://ncode.syosetu.com/n0890hp/
転生令嬢は冒険者を志す,"R15 残酷な描写あり 異世界転生 悪役令嬢 ほのぼの たまにシリアス 聖獣 チート 今日の一冊 書籍化 本編完結 コミカライズ
",146046,531469,1063,https://ncode.syosetu.com/n2024er/
悪役令嬢の中の人,"R15 残酷な描写あり ガールズラブ 乙女ゲーム 悪役令嬢 ヤンデレ ざまぁ 主人公にとっては ハッピーエンド
",145998,56228,113,https://ncode.syosetu.com/n2326gf/
"【コミカライズ2巻11月発売】婚約者が浮気相手と駆け落ちしました。王子殿下に溺愛されて幸せなので、今さら戻りたいと言われても困ります。【書籍全3巻発売中】
","魔法 身分差 婚約破棄 浮気 駆け落ち ざまぁ 溺愛 恋愛ファンタジー 書籍化 コミカライズ 本編完結
",145440,370997,742,https://ncode.syosetu.com/n5082hp/
野生のラスボスが現れた！,"魔法 冒険 MMO 架空MMO TS 性転換 憑依 俺ＴＵＥＥＥＥＥ 元ラスボス 挿絵あり 異世界 RPG ファンタジー 残酷な描写あり 異世界転移
",145143,1108101,2217,https://ncode.syosetu.com/n2211cx/
"【Web版】極点の炎魔術師〜ファイヤボールしか使えないけど、モテたい一心で最強になりました～【漫画3巻発売中！】
","R15 残酷な描写あり 主人公最強 男主人公 ギャグ 西洋 チート ハーレム 無双 ざまあ もう遅い 学園 魔法 コメディ ツンデレ おっぱい 書籍化
",144898,817630,1636,https://ncode.syosetu.com/n1537gq/
"【WEB版】回帰した悪逆皇女は黒歴史を塗り替える【大賞＆ComicWalker漫画賞 受賞作】
","ハッピーエンド 悪役令嬢 回帰 やり直し 契約結婚 恋愛 ざまぁ 断罪
",144616,264049,529,https://ncode.syosetu.com/n3531ia/
"カット＆ペーストでこの世界を生きていく
","R15 残酷な描写あり 冒険 異世界 ファンタジー チート クラン 魔法 スキル/アビリティ 美人受付嬢 姫騎士 エルフ 一夫多妻(ハーレム) 神獣 人によって鬱展開有
",144368,807105,1615,https://ncode.syosetu.com/n8366dn/
"【WEB版】人脈チートで始める人任せ英雄譚
","男主人公 ざまぁ 主人公最強（周りが） 追放 暗躍 勘違い 人脈チート 成り上がり 王女 座右の銘は他力本願 ハーレム もう遅い ハッピーエンド コメディ 剣と魔法
",144006,103491,207,https://ncode.syosetu.com/n7848gp/
"世界の闇と戦う秘密結社が無いから作った（半ギレ）
","伝奇 念力 超能力 マッチポンプ サイキック 訓練 最強 秘密結社
",144004,734522,1470,https://ncode.syosetu.com/n1435ev/
"フリーライフ　～異世界何でも屋奮闘記～
","異世界転移 日常 ラブコメ VRMMO ファンタジー 異世界 中世 お人よし 何でも屋 ステータス スキル レベル ジョブ お仕置きメイド 勘違い
",143433,1696024,3393,https://ncode.syosetu.com/n5993ba/
"【web版】八歳から始まる神々の使徒の転生生活
","R15 主人公最強 異世界 男主人公 賢者 剣と魔法 転生 貴族 もふもふ 神の使徒
",143400,398383,797,https://ncode.syosetu.com/n0417fm/
"【書籍化】落ちこぼれだった兄が実は最強〜史上最強の勇者は転生し、学園で無自覚に無双する〜
","男主人公 勇者 学園 主人公最強 無双 剣と魔法 幼馴染 婚約者 わがまま王女 転生 ざまぁ 書籍化 R15 残酷な描写あり
",143370,511645,1024,https://ncode.syosetu.com/n8910gh/
"ゲート・オブ・アミティリシア・オンライン
","冒険 VRMMO MMORPG 食い道楽 相棒は幻獣（狼） エルフ ＴＲＰＧネタ少々 掲示板 書籍化 R15 残酷な描写あり
",143225,1302157,2605,https://ncode.syosetu.com/n1930bw/
"辺境ぐらしの魔王、転生して最強の魔術師になる　〜愛されながら成り上がる元魔王は、人間を知りたい〜
","男主人公 チート 異世界 主人公最強 転生 成り上がり ご都合主義 聖剣 テンプレ R15 残酷な描写あり
",143172,918668,1838,https://ncode.syosetu.com/n9450fl/
"ぼくは異世界で付与魔法と召喚魔法を天秤にかける
","ハーレム 異世界トリップ R15 残酷な描写あり 異世界転移
",143144,1119883,2240,https://ncode.syosetu.com/n7505bx/
"英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～
","オリジナル戦記 主人公最強 TS 転生 神騎士 英雄王 見習い騎士 騎士失格 書籍化 コミカライズ アニメ化 R15
",142990,1253205,2507,https://ncode.syosetu.com/n2933fj/
"氷魔法のアイス屋さんは、暑がり神官様のごひいきです。
","R15 残酷な描写あり 異世界転生 身分差 日常 婚約破棄 女主人公 イケメン 仕事 お菓子作り 剣と魔法 微ざまぁ
",142182,1057039,2115,https://ncode.syosetu.com/n5486he/
日本国召喚,"シリアス 人外 西洋 現代 ミリタリー パラレルワールド オリジナル戦記 IF戦記 架空戦記 自衛隊 ファンタジー 転移 地球なめんな 書籍化作品 集団異世界転移 R15 異世界転移
",142084,980249,1961,https://ncode.syosetu.com/n6408bv/
"義妹に押し付けられた嫁ぎ先は、呪われた公爵閣下でした【完結】
","R15 残酷な描写あり ラブコメ 溺愛 妹ざまぁ 婚約破棄 ハッピーエンド イケメン 魔法 姉妹格差 ファンタジー 呪い 胸キュン 腹キュン 飯テロ やがて大聖女
",142032,103095,207,https://ncode.syosetu.com/n0792gy/
"転生王女と天才令嬢の魔法革命【Web版】
","R15 ガールズラブ 異世界転生 悪役令嬢 女主人公 魔法 婚約破棄 サブキャラヘテロあり 内政 書籍化 ハイファンタジー
",141928,1301213,2603,https://ncode.syosetu.com/n8558fh/
"【完結】泥船貴族のご令嬢、幼い弟を息子と偽装し、隣国でしぶとく生き残る！
","魔法 ヒストリカル 騎士 王族 恋愛 R15 残酷な描写あり
",141822,230116,461,https://ncode.syosetu.com/n3718id/
"悪役令嬢になんかなりません。私は『普通』の公爵令嬢です！
","女主人公 ロボット 乙女ゲーム 悪役令嬢 ラブコメ 強い女子過多 ひどい魔法少女 獣人 後半腐女子侵食 もふもふ ギャグ要素多め ＲＰＧ要素あり たまに男視点 書籍化決定 コミカライズ R15 異世界転生
",141591,1722806,3446,https://ncode.syosetu.com/n0922dp/
"【書籍化決定！】家で無能と言われ続けた俺ですが、世界的には超有能だったようです
","R15 残酷な描写あり 異世界 チート 最強 姉 美少女 ご都合主義
",141070,686056,1373,https://ncode.syosetu.com/n2361gc/
"【コミック③発売】空っぽ聖女として捨てられたはずが、嫁ぎ先の皇帝陛下に溺愛されています
","ハッピーエンド 身分差 年の差 溺愛 ざまあ 聖女チート 転生 年齢差逆転 執着 ラブコメディ 超一途 R15 残酷な描写あり
",141038,191419,383,https://ncode.syosetu.com/n8473hv/
"「もう・・・・働きたくないんです」冒険者なんか辞めてやる。今更、待遇を変えるからとお願いされてもお断りです。僕はぜーったい働きません。【漫画3巻＋書籍2巻】
","オリジナル戦記 冒険 もう遅い 主人公最強 ざまぁ 追放 ブラック 勘違い ニート 　剣と魔法 男主人公 無双
",140912,432633,866,https://ncode.syosetu.com/n1258gp/
"【書籍化】ハズレポーションが醤油だったので料理することにしました【web版】
","異世界転移 主婦 アラサー スローライフ 婚姻破棄 ポーション 飯 チート 料理 子育て 年下 誤字多め＊修正せず 重複投稿
",140881,556615,1114,https://ncode.syosetu.com/n7146em/
"独身貴族は異世界を謳歌する～結婚しない男の優雅なおひとりさまライフ～
","日常 独身貴族 結婚できない おひとりさま ファンタジー 魔道具 コメディ 異世界転生
",140762,556492,1113,https://ncode.syosetu.com/n0447gr/
">
    左遷錬金術師の辺境暮らし　～元エリートは二度目の人生も失敗したので辺境でのんびりとやり直すことにしました～
","男主人公 職業もの 錬金術 猫 スローライフ 異世界転生
",140582,306727,614,https://ncode.syosetu.com/n4069jg/
"地味な剣聖はそれでも最強です
","R15 異世界転生 異世界転移 主人公最強 不老長寿 修行チート 仙術 地味
",139847,2528592,5058,https://ncode.syosetu.com/n9846ee/
"【書籍化】宮廷魔導師、追放される　～無能だと追い出された最巧の魔導師は、部下を引き連れて冒険者クランを始めるようです～【コミカライズ】
","魔法 冒険 剣 異世界 魔道具 主人公最強 魔導師 冒険者 R15 残酷な描写あり
",139764,446072,893,https://ncode.syosetu.com/n0876hp/
"ハズレスキル「逃げる」で俺は極限低レベルのまま最強を目指す　～経験値抑制＆レベル１でスキルポイントが死ぬほどインフレ、スキルが取り放題になった件～
","R15 残酷な描写あり 男主人公 現代 ダンジョン ゲーム ステータス スキル レベル チート 主人公最強 無双 低レベル ざまぁ ファンタジー 書籍化 コミカライズ
",139436,1055429,2111,https://ncode.syosetu.com/n7575gq/
ダンジョンで潮干狩りを,"ほのぼの 男主人公 現代 冒険 日常 ダンジョン 年の差 天災 おっさん スローライフ ハーレム？ 潮干狩り R15 残酷な描写あり
",139392,3791277,7583,https://ncode.syosetu.com/n9657hs/
"ＶＲＭＭＯの支援職人　～トッププレイヤーの仕掛人～
","男主人公 ハーレム ゲーム VRMMO 回復職 支援職 ゾンビアタック トッププレイヤー 主夫？ 家事万能 料理 裁縫 幼馴染 ネット小説大賞五 R15 残酷な描写あり
",139223,3658739,7318,https://ncode.syosetu.com/n4014ds/
"【書籍3巻発売】世界で唯一の魔法使いは、宮廷錬金術師として幸せになります　※本当の力は秘密です！（WEB版）
","チート 魔法 ハッピーエンド 婚約破棄 両片思い 微ざまぁ 錬金術 お仕事 ものつくり 書籍化 コミカライズ
",139126,340724,682,https://ncode.syosetu.com/n3243hj/
"婚約者から「第二夫人になって欲しい」と言われ、キレて拳（グーパン）で懲らしめたのちに、王都にある魔法学校に入学した話
","女主人公 魔法 ハッピーエンド 恋愛 魔法学校 料理 薬草 スライム R15 残酷な描写あり 異世界転生
",139100,586909,1174,https://ncode.syosetu.com/n4353im/
"魔導具師ダリヤはうつむかない～番外編
","魔導具 物作り 職人 食事 R15 残酷な描写あり 異世界転生
",138860,106741,214,https://ncode.syosetu.com/n6477gw/
"悪役令嬢になりたくないので、王子様と一緒に完璧令嬢を目指します！
","R15 乙女ゲーム 悪役令嬢 ラブコメ 溺愛 王子 恋愛 女主人公 頑張る女の子 ハッピーエンド 魔法 ファンタジー 第二王子に 「ざまあ」と言いたい 転生要素は外野のみ
",138621,421078,843,https://ncode.syosetu.com/n0661fd/
エリスの聖杯,"女主人公 悪役令嬢 ミステリー サスペンス 婚約破棄 復讐 R15 残酷な描写あり
",138359,673002,1347,https://ncode.syosetu.com/n1230ei/
"【ノベル3巻＆コミカライズ3巻まで発売中】辺境の貧乏伯爵に嫁ぐことになったので領地改革に励みます
","ほのぼの 女主人公 西洋 日常 ハッピーエンド ヒストリカル 溺愛 イケメン ドラゴン ざまあ 婚約破棄 辺境 領地改革 ESN大賞３
",138324,94084,189,https://ncode.syosetu.com/n5996gy/
"ライオットグラスパー ～異世界でスキル盗ってます～（旧：異世界で盗賊やってます）
","R15 残酷な描写あり 異世界転生 ファンタジー 剣と魔法 盗賊 異世界 適度なご都合主義 厨二主人公 ＰＣ読み推奨
",138196,856225,1713,https://ncode.syosetu.com/n6530bk/
"異世界黙示録マイノグーラ～破滅の文明で始める世界征服～
","残酷な描写あり 異世界転生 異世界 ファンタジー 自キャラに転生 主人公は邪悪属性 ヒロインも邪悪属性 心に闇を抱えた聖女 いい奴から死んでいく 軍団もの 国家運営ゲーシステム FfH２リスペクト Civ４リスペクト 貴公の首は（略 内政特化（強弁 こんにちは、死ね
",137516,919394,1839,https://ncode.syosetu.com/n8760ei/
金貨１枚で変わる冒険者生活,"R15 残酷な描写あり 年の差 冒険 ラブコメ 男主人公 ファンタジー 魔法 甘やかし 成り上がり エルフ ゆっくり成長 友情 ネット小説大賞七 書籍化 コミカライズ
",136942,745144,1491,https://ncode.syosetu.com/n7457fc/
"もふもふを知らなかったら人生の半分は無駄にしていた【Web版】
","ほのぼの 男主人公 チート 冒険 日常 主人公最強？ 成り上がり 召喚 異世界 幼児 もふもふ 書籍化 コミカライズ ハーレムなし ブロマンス 残酷な描写あり 異世界転生 異世界転移
",136862,3019193,6039,https://ncode.syosetu.com/n7009fc/
"僕は今すぐ前世の記憶を捨てたい。
","冒険 日常 ホームドラマ スローライフ
",136728,712816,1426,https://ncode.syosetu.com/n9954hb/
"乙女ゲーム六周目、オートモードが切れました。
","残酷な描写あり 異世界転生 乙女ゲーム 悪役令嬢 スクールラブ 逆行転生 ラブコメ ファンタジー 転生？ オートモード 若返り 学園 恋愛 悪役
",136676,296244,593,https://ncode.syosetu.com/n5779da/
"婚約破棄をした令嬢は我慢を止めました
","日常 身分差 悪役令嬢 婚約破棄 今回は間違えない 人の話は聞こう 色々と勘違いがある ヤンデレな人が一人 前回の死亡原因不明 女神 執着 歪な愛情と溺愛 後悔がたくさん R15 残酷な描写あり
",136672,1319506,2640,https://ncode.syosetu.com/n1630fx/
永年雇用は可能でしょうか,"ハッピーエンド 年の差 ラブコメ イケオジ クーデレ 魔法使い 追放主人公 家政婦 R15
",136418,196430,393,https://ncode.syosetu.com/n5763hc/
"【10/17 コミカライズ１巻発売！】どうも、前世で殺戮の魔道具を作っていた子爵令嬢です。※Web版
","ハッピーエンド 婚約破棄 ざまぁ 溺愛 公爵令息 前世 魔道具 ファンタジー要素あり ほろり 書籍化 コミカライズ
",136396,106731,214,https://ncode.syosetu.com/n5177ic/
